Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Median Gross Rent,Data Time Period,Geographic Vintage,Data Source,Selected Location
Zip Code Tabulation Area,33004,FL,33004,33004,1616,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33009,FL,33009,33009,1576,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33019,FL,33019,33019,1983,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33020,FL,33020,33020,1444,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33021,FL,33021,33021,1707,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33022,FL,33022,33022,N/A,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33023,FL,33023,33023,1621,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33024,FL,33024,33024,1724,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33025,FL,33025,33025,1945,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33026,FL,33026,33026,1932,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33027,FL,33027,33027,1788,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33028,FL,33028,33028,2417,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33029,FL,33029,33029,2324,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33060,FL,33060,33060,1406,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33062,FL,33062,33062,1888,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33063,FL,33063,33063,1790,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33064,FL,33064,33064,1689,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33065,FL,33065,33065,1833,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33066,FL,33066,33066,1677,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33067,FL,33067,33067,2128,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33068,FL,33068,33068,1893,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33069,FL,33069,33069,1685,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33071,FL,33071,33071,2092,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33073,FL,33073,33073,2193,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33076,FL,33076,33076,3243,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33301,FL,33301,33301,2341,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33304,FL,33304,33304,1727,2019-2023,2020,Census,"Broward (County, 2022)"
Zip Code Tabulation Area,33305,FL,33305,33305,1850,2019-2023,2020,Census,"Broward (County, 2022)"
