Geography Type Description,Geography Name,GeoID,Formatted GeoID,Sits in State,Median Gross Rent,Median Household Income,Percent Population with At Least Bachelor's Degree,Data Time Period,Geographic Vintage,Data Source,Selected Location
Zip Code Tabulation Area,33010,33010,33010,FL,981,27116,12.42,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33012,33012,33012,FL,1105,32241,15.33,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33013,33013,33013,FL,1102,32461,11.87,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33014,33014,33014,FL,1236,38846,23.05,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33015,33015,33015,FL,1347,50426,23.27,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33016,33016,33016,FL,1328,44330,20.86,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33018,33018,33018,FL,1592,60063,22.67,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33030,33030,33030,FL,1039,37576,11.2,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33031,33031,33031,FL,1299,73193,18.89,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33032,33032,33032,FL,1204,48341,22.17,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33033,33033,33033,FL,1252,45782,20.37,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33034,33034,33034,FL,1058,36363,6.87,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33035,33035,33035,FL,1455,51207,26.06,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33039,33039,33039,FL,,75046,0,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33054,33054,33054,FL,857,24597,10.15,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33055,33055,33055,FL,1315,43373,15.07,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33056,33056,33056,FL,1182,40985,13.77,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33101,33101,33101,FL,,,,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33109,33109,33109,FL,,223618,84.21,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33122,33122,33122,FL,2174,,68.12,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33125,33125,33125,FL,1004,27518,13.61,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33126,33126,33126,FL,1228,35319,23.19,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33127,33127,33127,FL,961,30231,14.82,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33128,33128,33128,FL,773,18920,9.66,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33129,33129,33129,FL,1829,82143,70.49,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33130,33130,33130,FL,1096,30618,33.16,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33131,33131,33131,FL,2252,88917,77.29,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33132,33132,33132,FL,1964,77779,58.56,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33133,33133,33133,FL,1434,63992,49.36,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33134,33134,33134,FL,1376,67818,48.86,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33135,33135,33135,FL,998,27172,16.8,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33136,33136,33136,FL,824,24702,18,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33137,33137,33137,FL,1616,60259,43.49,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33138,33138,33138,FL,949,47604,37.98,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33139,33139,33139,FL,1426,52278,52.09,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33140,33140,33140,FL,1632,79804,56.46,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33141,33141,33141,FL,1273,48096,37.01,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33142,33142,33142,FL,901,24106,11.34,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33143,33143,33143,FL,1321,67170,52.88,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33144,33144,33144,FL,1320,44611,22.37,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33145,33145,33145,FL,1413,51181,32.59,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33146,33146,33146,FL,2179,121319,70.28,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33147,33147,33147,FL,1007,30632,10.81,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33149,33149,33149,FL,2448,133958,73.54,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33150,33150,33150,FL,864,28069,13.74,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33154,33154,33154,FL,1805,74212,55.98,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33155,33155,33155,FL,1447,63653,32.57,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33156,33156,33156,FL,1664,112373,60.5,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33157,33157,33157,FL,1150,63943,30.55,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33158,33158,33158,FL,2338,159914,72.9,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33160,33160,33160,FL,1503,52170,45.01,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33161,33161,33161,FL,1076,36618,19.66,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33162,33162,33162,FL,1110,42643,17.47,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33165,33165,33165,FL,1378,50758,26.02,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33166,33166,33166,FL,1261,53717,31.69,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33167,33167,33167,FL,1108,36870,12.91,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33168,33168,33168,FL,1299,45395,12.57,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33169,33169,33169,FL,1142,43331,18.36,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33170,33170,33170,FL,1011,42946,19.23,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33172,33172,33172,FL,1462,46983,29.52,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33173,33173,33173,FL,1466,69414,40.5,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33174,33174,33174,FL,1264,46613,27.3,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33175,33175,33175,FL,1556,55304,26.3,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33176,33176,33176,FL,1371,70572,39.14,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33177,33177,33177,FL,1425,58912,21.17,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33178,33178,33178,FL,2028,80554,52.84,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33179,33179,33179,FL,1228,48456,29.16,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33180,33180,33180,FL,1868,70014,53.51,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33181,33181,33181,FL,1192,46038,32.21,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33182,33182,33182,FL,1786,73785,27.29,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33183,33183,33183,FL,1440,56400,27.93,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33184,33184,33184,FL,1443,50569,26.24,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33185,33185,33185,FL,2205,87438,38.54,2014-2018,2010,Census,"Miami-Dade (County, 2022)"
