Geography Type Description,GeoID,Sits in State,Median Gross Rent,Median Household Income,Percent Poverty,Percent Population with At Least Bachelor's Degree,Geographic Vintage,Data Source,Selected Location
Zip Code Tabulation Area,33010,FL,1318,45449,20.09,19.56,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33012,FL,1562,45818,18.83,18.35,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33013,FL,1488,57242,19.23,17.99,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33014,FL,1720,74934,11.73,29.4,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33015,FL,1841,73609,11.8,31.11,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33016,FL,1753,56633,15.43,27.74,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33018,FL,2066,90805,10.04,28.8,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33030,FL,1307,43231,31.49,14.62,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33031,FL,1816,107460,9.63,20.5,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33032,FL,1626,74995,16.8,24.26,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33033,FL,1648,66662,16.88,23.32,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33034,FL,1283,46404,28.43,9.02,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33035,FL,1855,67601,9.6,27.9,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33039,FL,,,,,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33054,FL,1346,42779,23.82,9.71,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33055,FL,1624,59728,13.19,15.8,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33056,FL,1659,62255,12.84,17.92,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33101,FL,,,,,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33109,FL,,250001,0,72.68,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33122,FL,2437,83152,3.47,62.23,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33125,FL,1427,40940,23.55,21.82,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33126,FL,1651,55722,16.2,27.53,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33127,FL,1394,41125,33.12,12.85,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33128,FL,1316,36308,18.39,21.99,2020,Census,"Miami-Dade (County, 2022)"
Zip Code Tabulation Area,33129,FL,2241,102969,6.34,67.73,2020,Census,"Miami-Dade (County, 2022)"
