Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Median Gross Rent,Data Time Period,Geographic Vintage,Data Source,Selected Location
Zip Code Tabulation Area,32162,FL,32162,32162,1497,2019-2023,2020,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,32163,FL,32163,32163,1969,2019-2023,2020,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,33513,FL,33513,33513,1089,2019-2023,2020,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,33514,FL,33514,33514,883,2019-2023,2020,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,33521,FL,33521,33521,989,2019-2023,2020,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,33538,FL,33538,33538,1005,2019-2023,2020,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,33585,FL,33585,33585,854,2019-2023,2020,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,33597,FL,33597,33597,829,2019-2023,2020,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,34484,FL,34484,34484,N/A,2019-2023,2020,Census,"Sumter (County, 2022)"
Zip Code Tabulation Area,34785,FL,34785,34785,1082,2019-2023,2020,Census,"Sumter (County, 2022)"
